ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status
1,AR-5381,,,,Adjustable Race,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
2,BA-8327,,,,Bearing Ball,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
3,BE-2349,,,,BB Ball Bearing,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
4,BE-2908,,,,Headset Ball Bearings,,,,False,NA,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
5,BL-2036,,,,Blade,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
6,CA-5965,,,,LL Crankarm,,,,False,Black,500,375,,,NA,,0,,,L ,,,,2003-07-01 00:00:00,,Current
7,CA-6738,,,,ML Crankarm,,,,False,Black,500,375,,,NA,,0,,,M ,,,,2003-07-01 00:00:00,,Current
8,CA-7457,,,,HL Crankarm,,,,False,Black,500,375,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
9,CB-2903,,,,Chainring Bolts,,,,False,Silver,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
10,CN-6137,,,,Chainring Nut,,,,False,Silver,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
11,CR-7833,,,,Chainring,,,,False,Black,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
12,CR-9981,,,,Crown Race,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
13,CS-2812,,,,Chain Stays,,,,False,NA,1000,750,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
14,DC-8732,,,,Decal 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
15,DC-9824,,,,Decal 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
16,DT-2377,,,,Down Tube,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
17,EC-M092,,,,Mountain End Caps,,,,False,NA,1000,750,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
18,EC-R098,,,,Road End Caps,,,,False,NA,1000,750,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
19,EC-T209,,,,Touring End Caps,,,,False,NA,1000,750,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
20,FE-3760,,,,Fork End,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
21,FH-2981,,,,Freewheel,,,,False,Silver,500,375,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
22,FW-1000,,,,Flat Washer 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
23,FW-1200,,,,Flat Washer 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
24,FW-1400,,,,Flat Washer 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
25,FW-3400,,,,Flat Washer 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
26,FW-3800,,,,Flat Washer 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
27,FW-5160,,,,Flat Washer 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
28,FW-5800,,,,Flat Washer 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
29,FW-7160,,,,Flat Washer 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
30,FW-9160,,,,Flat Washer 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
31,FC-3654,,,,Fork Crown,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
32,FC-3982,,,,Front Derailleur Cage,,,,False,Silver,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
33,FL-2301,,,,Front Derailleur Linkage,,,,False,Silver,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
34,GP-0982,,,,Guide Pulley,,,,False,NA,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
35,GT-0820,,,,LL Grip Tape,,,,False,NA,800,600,,,NA,,0,,,L ,,,,2003-07-01 00:00:00,,Current
36,GT-1209,,,,ML Grip Tape,,,,False,NA,800,600,,,NA,,0,,,M ,,,,2003-07-01 00:00:00,,Current
37,GT-2908,,,,HL Grip Tape,,,,False,NA,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
38,HJ-1213,,,,Thin-Jam Hex Nut 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
39,HJ-1220,,,,Thin-Jam Hex Nut 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
40,HJ-1420,,,,Thin-Jam Hex Nut 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
41,HJ-1428,,,,Thin-Jam Hex Nut 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
42,HJ-3410,,,,Thin-Jam Hex Nut 15,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
43,HJ-3416,,,,Thin-Jam Hex Nut 16,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
44,HJ-3816,,,,Thin-Jam Hex Nut 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
45,HJ-3824,,,,Thin-Jam Hex Nut 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
46,HJ-5161,,,,Thin-Jam Hex Nut 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
47,HJ-5162,,,,Thin-Jam Hex Nut 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
48,HJ-5811,,,,Thin-Jam Hex Nut 13,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
49,HJ-5818,,,,Thin-Jam Hex Nut 14,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
50,HJ-7161,,,,Thin-Jam Hex Nut 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
51,HJ-7162,,,,Thin-Jam Hex Nut 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
52,HJ-9080,,,,Thin-Jam Hex Nut 12,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
53,HJ-9161,,,,Thin-Jam Hex Nut 11,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
54,HN-1024,,,,Hex Nut 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
55,HN-1032,,,,Hex Nut 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
56,HN-1213,,,,Hex Nut 16,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
57,HN-1220,,,,Hex Nut 17,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
58,HN-1224,,,,Hex Nut 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
59,HN-1420,,,,Hex Nut 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
60,HN-1428,,,,Hex Nut 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
61,HN-3410,,,,Hex Nut 22,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
62,HN-3416,,,,Hex Nut 23,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
63,HN-3816,,,,Hex Nut 12,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
64,HN-3824,,,,Hex Nut 13,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
65,HN-4402,,,,Hex Nut 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
66,HN-5161,,,,Hex Nut 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
67,HN-5162,,,,Hex Nut 11,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
68,HN-5400,,,,Hex Nut 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
69,HN-5811,,,,Hex Nut 20,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
70,HN-5818,,,,Hex Nut 21,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
71,HN-6320,,,,Hex Nut 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
72,HN-7161,,,,Hex Nut 14,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
73,HN-7162,,,,Hex Nut 15,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
74,HN-8320,,,,Hex Nut 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
75,HN-9161,,,,Hex Nut 18,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
76,HN-9168,,,,Hex Nut 19,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
77,HT-2981,,,,Handlebar Tube,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
78,HT-8019,,,,Head Tube,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
79,HU-6280,,,,LL Hub,,,,False,NA,500,375,,,NA,,1,,,L ,,,,2003-07-01 00:00:00,,Current
80,HU-8998,,,,HL Hub,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
81,KW-4091,,,,Keyed Washer,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
82,LE-1000,,,,External Lock Washer 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
83,LE-1200,,,,External Lock Washer 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
84,LE-1201,,,,External Lock Washer 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
85,LE-1400,,,,External Lock Washer 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
86,LE-3800,,,,External Lock Washer 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
87,LE-5160,,,,External Lock Washer 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
88,LE-6000,,,,External Lock Washer 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
89,LE-7160,,,,External Lock Washer 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
90,LE-8000,,,,External Lock Washer 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
91,LI-1000,,,,Internal Lock Washer 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
92,LI-1200,,,,Internal Lock Washer 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
93,LI-1201,,,,Internal Lock Washer 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
94,LI-1400,,,,Internal Lock Washer 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
95,LI-3800,,,,Internal Lock Washer 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
96,LI-5160,,,,Internal Lock Washer 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
97,LI-5800,,,,Internal Lock Washer 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
98,LI-6000,,,,Internal Lock Washer 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
99,LI-7160,,,,Internal Lock Washer 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
100,LI-8000,,,,Internal Lock Washer 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
101,LJ-1213,,,,Thin-Jam Lock Nut 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
102,LJ-1220,,,,Thin-Jam Lock Nut 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
103,LJ-1420,,,,Thin-Jam Lock Nut 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
