Time,Device,Value
2022-01-01 00:00:00,Dev1,7
2022-01-01 00:00:01,Dev2,4
2022-01-01 00:00:02,Dev3,6
2022-01-01 00:00:03,Dev4,2
2022-01-01 00:00:04,Dev5,7
2022-01-02 00:00:00,Dev1,8
2022-01-02 00:00:01,Dev2,7
2022-01-02 00:00:02,Dev3,2
2022-01-02 00:00:03,Dev4,7
2022-01-02 00:00:04,Dev5,6
2022-01-03 00:00:00,Dev1,5
2022-01-03 00:00:01,Dev2,10
2022-01-03 00:00:02,Dev3,2
2022-01-03 00:00:03,Dev4,4
2022-01-03 00:00:04,Dev5,2
2022-01-04 00:00:00,Dev1,3
2022-01-04 00:00:01,Dev2,7
2022-01-04 00:00:02,Dev3,4
2022-01-04 00:00:03,Dev4,5
2022-01-04 00:00:04,Dev5,6
2022-01-05 00:00:00,Dev1,7
2022-01-05 00:00:01,Dev2,5
2022-01-05 00:00:02,Dev3,6
2022-01-05 00:00:03,Dev4,8
2022-01-05 00:00:04,Dev5,4
2022-01-06 00:00:00,Dev1,5
2022-01-06 00:00:01,Dev2,2
2022-01-06 00:00:02,Dev3,6
2022-01-06 00:00:03,Dev4,6
2022-01-06 00:00:04,Dev5,1
2022-01-07 00:00:00,Dev1,1
2022-01-07 00:00:01,Dev2,8
2022-01-07 00:00:02,Dev3,4
2022-01-07 00:00:03,Dev4,1
2022-01-07 00:00:04,Dev5,2
2022-01-08 00:00:00,Dev1,2
2022-01-08 00:00:01,Dev2,9
2022-01-08 00:00:02,Dev3,3
2022-01-08 00:00:03,Dev4,2
2022-01-08 00:00:04,Dev5,1
2022-01-09 00:00:00,Dev1,4
2022-01-09 00:00:01,Dev2,1
2022-01-09 00:00:02,Dev3,3
2022-01-09 00:00:03,Dev4,5
2022-01-09 00:00:04,Dev5,10
2022-01-10 00:00:00,Dev1,7
2022-01-10 00:00:01,Dev2,9
2022-01-10 00:00:02,Dev3,10
2022-01-10 00:00:03,Dev4,2
2022-01-10 00:00:04,Dev5,8
2022-01-11 00:00:00,Dev1,4
2022-01-11 00:00:01,Dev2,10
2022-01-11 00:00:02,Dev3,2
2022-01-11 00:00:03,Dev4,3
2022-01-11 00:00:04,Dev5,1
2022-01-12 00:00:00,Dev1,8
2022-01-12 00:00:01,Dev2,10
2022-01-12 00:00:02,Dev3,6
2022-01-12 00:00:03,Dev4,2
2022-01-12 00:00:04,Dev5,6
2022-01-13 00:00:00,Dev1,2
2022-01-13 00:00:01,Dev2,4
2022-01-13 00:00:02,Dev3,10
2022-01-13 00:00:03,Dev4,9
2022-01-13 00:00:04,Dev5,7
2022-01-14 00:00:00,Dev1,10
2022-01-14 00:00:01,Dev2,4
2022-01-14 00:00:02,Dev3,10
2022-01-14 00:00:03,Dev4,10
2022-01-14 00:00:04,Dev5,4
